ROC results without thresholding
"P1/Ptotal"  "P2/Ptotal"  "P3/Ptotal"  "P1/P2"  "P1/P3"  "P2/P3"
S S S S S S
0.707580  0.292420  0.000000  2.419740  Inf  Inf
0.642698  0.357302  0.000000  1.798756  Inf  Inf
0.624569  0.375431  0.000000  1.663608  Inf  Inf
0.411017  0.588983  0.000000  0.697843  Inf  Inf
0.545268  0.454732  0.000000  1.199097  Inf  Inf
0.769678  0.230322  0.000000  3.341740  Inf  Inf
0.578450  0.421550  0.000000  1.372200  Inf  Inf
0.554947  0.445053  0.000000  1.246924  Inf  Inf
0.271455  0.728545  0.000000  0.372598  Inf  Inf
0.575317  0.424683  0.000000  1.354698  Inf  Inf
0.470737  0.529263  0.000000  0.889422  Inf  Inf
0.608937  0.391063  0.000000  1.557133  Inf  Inf
*******
0.601563  0.398438  0.000000  1.509804  Inf  Inf
0.601563  0.398438  0.000000  1.509804  Inf  Inf
0.601563  0.398438  0.000000  1.509804  Inf  Inf
0.601563  0.398438  0.000000  1.509804  Inf  Inf
0.601563  0.398438  0.000000  1.509804  Inf  Inf
0.601563  0.398438  0.000000  1.509804  Inf  Inf
0.601563  0.398438  0.000000  1.509804  Inf  Inf
0.601563  0.398438  0.000000  1.509804  Inf  Inf
0.601563  0.398438  0.000000  1.509804  Inf  Inf
0.601563  0.398438  0.000000  1.509804  Inf  Inf
0.601563  0.398438  0.000000  1.509804  Inf  Inf
0.601563  0.398438  0.000000  1.509804  Inf  Inf
0.601563  0.398438  0.000000  1.509804  Inf  Inf
0.601563  0.398438  0.000000  1.509804  Inf  Inf
0.601563  0.398438  0.000000  1.509804  Inf  Inf
0.601563  0.398438  0.000000  1.509804  Inf  Inf
0.601563  0.398438  0.000000  1.509804  Inf  Inf
0.601563  0.398438  0.000000  1.509804  Inf  Inf
0.601563  0.398438  0.000000  1.509804  Inf  Inf
0.601563  0.398438  0.000000  1.509804  Inf  Inf
0.601563  0.398438  0.000000  1.509804  Inf  Inf
0.601563  0.398438  0.000000  1.509804  Inf  Inf
0.601563  0.398438  0.000000  1.509804  Inf  Inf
0.601563  0.398438  0.000000  1.509804  Inf  Inf
0.601563  0.398438  0.000000  1.509804  Inf  Inf
0.601563  0.398438  0.000000  1.509804  Inf  Inf
0.601563  0.398438  0.000000  1.509804  Inf  Inf
*******
