param,classVector
0.848196,0.000000
0.752312,0.000000
0.595113,0.000000
0.795512,0.000000
0.707326,0.000000
0.820303,0.000000
0.468260,0.000000
0.477903,0.000000
0.704559,0.000000
0.639221,0.000000
0.722647,0.000000
0.718967,2.000000
0.823646,1.000000
0.829915,1.000000
0.641342,1.000000
0.551600,2.000000
0.581489,1.000000
0.650872,1.000000
0.706751,2.000000
0.079224,1.000000
0.842141,2.000000
0.303317,1.000000
0.152410,2.000000
0.730941,2.000000
0.471835,2.000000
0.827280,1.000000
0.627828,2.000000
0.258484,1.000000
0.500368,1.000000
0.887996,1.000000
0.345850,2.000000
